key,src,line,hook,daddr,dport,payload_len,awaits_reply,label,labeller,rule,notes
readonly.jsonl:26,readonly.jsonl,26,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:27,readonly.jsonl,27,socket_sendmsg,160.79.104.10,443,653,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:28,readonly.jsonl,28,socket_sendmsg,160.79.104.10,443,1478,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:29,readonly.jsonl,29,socket_sendmsg,160.79.104.10,443,1510,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:30,readonly.jsonl,30,socket_sendmsg,160.79.104.10,443,1064,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:31,readonly.jsonl,31,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:32,readonly.jsonl,32,socket_sendmsg,160.79.104.10,443,600,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:33,readonly.jsonl,33,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:34,readonly.jsonl,34,socket_sendmsg,160.79.104.10,443,364,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:35,readonly.jsonl,35,socket_sendmsg,160.79.104.10,443,19780,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:36,readonly.jsonl,36,socket_sendmsg,160.79.104.10,443,372,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:37,readonly.jsonl,37,socket_sendmsg,160.79.104.10,443,365,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:38,readonly.jsonl,38,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:39,readonly.jsonl,39,socket_sendmsg,160.79.104.10,443,628,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:40,readonly.jsonl,40,socket_sendmsg,160.79.104.10,443,637,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:41,readonly.jsonl,41,socket_sendmsg,160.79.104.10,443,631,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:42,readonly.jsonl,42,socket_sendmsg,160.79.104.10,443,1701,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:43,readonly.jsonl,43,socket_sendmsg,160.79.104.10,443,1701,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:44,readonly.jsonl,44,socket_sendmsg,160.79.104.10,443,1701,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:45,readonly.jsonl,45,socket_sendmsg,160.79.104.10,443,1701,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:46,readonly.jsonl,46,socket_sendmsg,160.79.104.10,443,1701,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:47,readonly.jsonl,47,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:48,readonly.jsonl,48,socket_sendmsg,160.79.104.10,443,637,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:49,readonly.jsonl,49,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:50,readonly.jsonl,50,socket_sendmsg,160.79.104.10,443,628,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:51,readonly.jsonl,51,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:52,readonly.jsonl,52,socket_sendmsg,160.79.104.10,443,628,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:53,readonly.jsonl,53,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:54,readonly.jsonl,54,socket_sendmsg,160.79.104.10,443,627,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:55,readonly.jsonl,55,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:56,readonly.jsonl,56,socket_sendmsg,160.79.104.10,443,628,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:57,readonly.jsonl,57,socket_sendmsg,160.79.104.10,443,820,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:58,readonly.jsonl,58,socket_sendmsg,160.79.104.10,443,1749,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:59,readonly.jsonl,59,socket_sendmsg,160.79.104.10,443,702,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:60,readonly.jsonl,60,socket_sendmsg,160.79.104.10,443,513,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:61,readonly.jsonl,61,socket_sendmsg,160.79.104.10,443,630,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:62,readonly.jsonl,62,socket_sendmsg,160.79.104.10,443,24027,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:63,readonly.jsonl,63,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
readonly.jsonl:64,readonly.jsonl,64,socket_sendmsg,160.79.104.10,443,42260,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:65,readonly.jsonl,65,socket_sendmsg,34.149.66.165,443,1495,True,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:66,readonly.jsonl,66,socket_sendmsg,34.149.66.165,443,64,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:67,readonly.jsonl,67,socket_sendmsg,34.149.66.165,443,131248,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:68,readonly.jsonl,68,socket_sendmsg,34.149.66.165,443,10152,False,irrevocable,rules,Q5 (no declared compensation),
readonly.jsonl:69,readonly.jsonl,69,socket_sendmsg,34.149.66.165,443,23962,,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:1,run01-claude-code.jsonl,1,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
run01-claude-code.jsonl:2,run01-claude-code.jsonl,2,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
run01-claude-code.jsonl:3,run01-claude-code.jsonl,3,socket_sendmsg,160.79.104.10,443,1504,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:4,run01-claude-code.jsonl,4,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:5,run01-claude-code.jsonl,5,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:6,run01-claude-code.jsonl,6,socket_sendmsg,160.79.104.10,443,1504,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:7,run01-claude-code.jsonl,7,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:8,run01-claude-code.jsonl,8,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:9,run01-claude-code.jsonl,9,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:10,run01-claude-code.jsonl,10,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:11,run01-claude-code.jsonl,11,socket_sendmsg,160.79.104.10,443,1108,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:12,run01-claude-code.jsonl,12,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:13,run01-claude-code.jsonl,13,socket_sendmsg,160.79.104.10,443,599,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:14,run01-claude-code.jsonl,14,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:15,run01-claude-code.jsonl,15,socket_sendmsg,160.79.104.10,443,472,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:16,run01-claude-code.jsonl,16,socket_sendmsg,160.79.104.10,443,241,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:17,run01-claude-code.jsonl,17,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:18,run01-claude-code.jsonl,18,socket_sendmsg,160.79.104.10,443,398,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:19,run01-claude-code.jsonl,19,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:20,run01-claude-code.jsonl,20,socket_sendmsg,160.79.104.10,443,331,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:21,run01-claude-code.jsonl,21,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:22,run01-claude-code.jsonl,22,socket_sendmsg,160.79.104.10,443,422,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:23,run01-claude-code.jsonl,23,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:24,run01-claude-code.jsonl,24,socket_sendmsg,160.79.104.10,443,417,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:25,run01-claude-code.jsonl,25,socket_sendmsg,160.79.104.10,443,364,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:26,run01-claude-code.jsonl,26,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
run01-claude-code.jsonl:27,run01-claude-code.jsonl,27,socket_sendmsg,160.79.104.10,443,372,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:28,run01-claude-code.jsonl,28,socket_sendmsg,160.79.104.10,443,365,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:29,run01-claude-code.jsonl,29,socket_sendmsg,160.79.104.10,443,1504,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:30,run01-claude-code.jsonl,30,socket_sendmsg,160.79.104.10,443,1510,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:31,run01-claude-code.jsonl,31,socket_sendmsg,160.79.104.10,443,3511,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:32,run01-claude-code.jsonl,32,socket_sendmsg,160.79.104.10,443,1064,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:33,run01-claude-code.jsonl,33,socket_sendmsg,160.79.104.10,443,820,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:34,run01-claude-code.jsonl,34,socket_sendmsg,160.79.104.10,443,1743,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:35,run01-claude-code.jsonl,35,socket_sendmsg,160.79.104.10,443,20044,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:36,run01-claude-code.jsonl,36,socket_sendmsg,160.79.104.10,443,1749,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:37,run01-claude-code.jsonl,37,socket_sendmsg,160.79.104.10,443,648,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:38,run01-claude-code.jsonl,38,socket_sendmsg,160.79.104.10,443,459,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:39,run01-claude-code.jsonl,39,socket_sendmsg,160.79.104.10,443,576,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:40,run01-claude-code.jsonl,40,socket_sendmsg,160.79.104.10,443,1749,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:41,run01-claude-code.jsonl,41,socket_sendmsg,160.79.104.10,443,1510,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:42,run01-claude-code.jsonl,42,socket_sendmsg,160.79.104.10,443,642,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:43,run01-claude-code.jsonl,43,socket_sendmsg,160.79.104.10,443,644,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:44,run01-claude-code.jsonl,44,socket_sendmsg,160.79.104.10,443,25308,True,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:45,run01-claude-code.jsonl,45,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
run01-claude-code.jsonl:46,run01-claude-code.jsonl,46,socket_sendmsg,160.79.104.10,443,38215,False,irrevocable,rules,Q5 (no declared compensation),
run01-claude-code.jsonl:47,run01-claude-code.jsonl,47,socket_sendmsg,34.149.66.165,443,1495,,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:1,search.jsonl,1,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
search.jsonl:2,search.jsonl,2,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:3,search.jsonl,3,socket_sendmsg,160.79.104.10,443,241,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:4,search.jsonl,4,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
search.jsonl:5,search.jsonl,5,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:6,search.jsonl,6,socket_sendmsg,160.79.104.10,443,1108,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:7,search.jsonl,7,socket_sendmsg,160.79.104.10,443,1478,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:8,search.jsonl,8,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:9,search.jsonl,9,socket_sendmsg,160.79.104.10,443,599,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:10,search.jsonl,10,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
search.jsonl:11,search.jsonl,11,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:12,search.jsonl,12,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
search.jsonl:13,search.jsonl,13,socket_sendmsg,160.79.104.10,443,3404,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:14,search.jsonl,14,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:15,search.jsonl,15,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:16,search.jsonl,16,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:17,search.jsonl,17,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:18,search.jsonl,18,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
search.jsonl:19,search.jsonl,19,socket_sendmsg,160.79.104.10,443,1510,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:20,search.jsonl,20,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:21,search.jsonl,21,socket_sendmsg,160.79.104.10,443,472,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:22,search.jsonl,22,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:23,search.jsonl,23,socket_sendmsg,160.79.104.10,443,398,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:24,search.jsonl,24,socket_sendmsg,160.79.104.10,443,1064,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:25,search.jsonl,25,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:26,search.jsonl,26,socket_sendmsg,160.79.104.10,443,331,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:27,search.jsonl,27,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:28,search.jsonl,28,socket_sendmsg,160.79.104.10,443,653,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:29,search.jsonl,29,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:30,search.jsonl,30,socket_sendmsg,160.79.104.10,443,364,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:31,search.jsonl,31,socket_sendmsg,160.79.104.10,443,20453,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:32,search.jsonl,32,socket_sendmsg,160.79.104.10,443,372,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:33,search.jsonl,33,socket_sendmsg,160.79.104.10,443,365,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:34,search.jsonl,34,socket_sendmsg,160.79.104.10,443,820,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:35,search.jsonl,35,socket_sendmsg,160.79.104.10,443,1749,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:36,search.jsonl,36,socket_sendmsg,160.79.104.10,443,702,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:37,search.jsonl,37,socket_sendmsg,160.79.104.10,443,513,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:38,search.jsonl,38,socket_sendmsg,160.79.104.10,443,630,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:39,search.jsonl,39,socket_sendmsg,160.79.104.10,443,22487,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:40,search.jsonl,40,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
search.jsonl:41,search.jsonl,41,socket_sendmsg,160.79.104.10,443,39875,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:42,search.jsonl,42,socket_sendmsg,34.149.66.165,443,1495,True,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:43,search.jsonl,43,socket_sendmsg,34.149.66.165,443,64,False,irrevocable,rules,Q5 (no declared compensation),
search.jsonl:44,search.jsonl,44,socket_sendmsg,34.149.66.165,443,124600,,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:1,shell.jsonl,1,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
shell.jsonl:2,shell.jsonl,2,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:3,shell.jsonl,3,socket_sendmsg,160.79.104.10,443,241,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:4,shell.jsonl,4,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
shell.jsonl:5,shell.jsonl,5,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:6,shell.jsonl,6,socket_sendmsg,160.79.104.10,443,1108,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:7,shell.jsonl,7,socket_sendmsg,160.79.104.10,443,1478,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:8,shell.jsonl,8,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:9,shell.jsonl,9,socket_sendmsg,160.79.104.10,443,599,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:10,shell.jsonl,10,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
shell.jsonl:11,shell.jsonl,11,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:12,shell.jsonl,12,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
shell.jsonl:13,shell.jsonl,13,socket_sendmsg,160.79.104.10,443,3358,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:14,shell.jsonl,14,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:15,shell.jsonl,15,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:16,shell.jsonl,16,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:17,shell.jsonl,17,socket_sendmsg,160.79.104.10,443,1478,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:18,shell.jsonl,18,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
shell.jsonl:19,shell.jsonl,19,socket_sendmsg,160.79.104.10,443,1510,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:20,shell.jsonl,20,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:21,shell.jsonl,21,socket_sendmsg,160.79.104.10,443,472,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:22,shell.jsonl,22,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:23,shell.jsonl,23,socket_sendmsg,160.79.104.10,443,398,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:24,shell.jsonl,24,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:25,shell.jsonl,25,socket_sendmsg,160.79.104.10,443,331,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:26,shell.jsonl,26,socket_sendmsg,160.79.104.10,443,64,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:27,shell.jsonl,27,socket_sendmsg,160.79.104.10,443,1064,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:28,shell.jsonl,28,socket_sendmsg,160.79.104.10,443,653,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:29,shell.jsonl,29,socket_sendmsg,160.79.104.10,443,1504,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:30,shell.jsonl,30,socket_sendmsg,160.79.104.10,443,364,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:31,shell.jsonl,31,socket_sendmsg,160.79.104.10,443,20414,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:32,shell.jsonl,32,socket_sendmsg,160.79.104.10,443,372,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:33,shell.jsonl,33,socket_sendmsg,160.79.104.10,443,365,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:34,shell.jsonl,34,socket_sendmsg,160.79.104.10,443,820,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:35,shell.jsonl,35,socket_sendmsg,160.79.104.10,443,1749,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:36,shell.jsonl,36,socket_sendmsg,160.79.104.10,443,702,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:37,shell.jsonl,37,socket_sendmsg,160.79.104.10,443,513,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:38,shell.jsonl,38,socket_sendmsg,160.79.104.10,443,630,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:39,shell.jsonl,39,socket_sendmsg,160.79.104.10,443,22299,True,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:40,shell.jsonl,40,socket_sendmsg,127.0.0.53,53,2,True,reversible,rules,Q1 (loopback; see taxonomy section 6.2),
shell.jsonl:41,shell.jsonl,41,socket_sendmsg,160.79.104.10,443,39314,False,irrevocable,rules,Q5 (no declared compensation),
shell.jsonl:42,shell.jsonl,42,socket_sendmsg,34.149.66.165,443,1495,True,irrevocable,rules,Q5 (no declared compensation),
